name,address
compound,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4
maker,0x2f0b23f53734252bda2277357e97e1517d6b042a
maker,0x448a5065aebb8e423f0896e6c5d525c040f59af3
dydx,0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e
set,0x5b67871c3a857de81a1ca0f9f7945e5670d986dc
bzx,0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633
uniswap,0x4d2f5cfba55ae412221182d8475bc85799a5644b
aave,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3
ddex,0x241e82c79452f51fbfc89fac6d912e021db1a3b7
oasis,0x794e6e91555438afc3ccf1c5076a74f42133d08d
nuo,0x802275979b020f0ec871c5ec1db6e412b72ff20b
kyber,0x63825c174ab367968ec60f061753d3bbd36a0d8f
